book,chapter,verse,text
"Genèse",1,1,"Au commencement, Dieu créa les cieux et la terre."
"Genèse",1,2,"La terre était informe et vide; il y avait des ténèbres à la surface de l'abîme, et l'Esprit de Dieu se mouvait au-dessus des eaux."
"Genèse",1,3,"Dieu dit: Que la lumière soit! Et la lumière fut."
"Genèse",1,4,"Dieu vit que la lumière était bonne; et Dieu sépara la lumière d'avec les ténèbres."
"Genèse",1,5,"Dieu appela la lumière jour, et il appela les ténèbres nuit. Ainsi, il y eut un soir, et il y eut un matin: ce fut le premier jour."
"Exode",1,1,"Exode chapitre 1, verset 1."
"Exode",1,2,"Exode chapitre 1, verset 2."
"Exode",1,3,"Exode chapitre 1, verset 3."
"Exode",1,4,"Exode chapitre 1, verset 4."
"Exode",1,5,"Exode chapitre 1, verset 5."
"Exode",1,6,"Exode chapitre 1, verset 6."
"Exode",1,7,"Exode chapitre 1, verset 7."
"Exode",1,8,"Exode chapitre 1, verset 8."
"Exode",1,9,"Exode chapitre 1, verset 9."
"Exode",1,10,"Exode chapitre 1, verset 10."
"Exode",1,11,"Exode chapitre 1, verset 11."
"Exode",1,12,"Exode chapitre 1, verset 12."
"Exode",1,13,"Exode chapitre 1, verset 13."
"Exode",1,14,"Exode chapitre 1, verset 14."
"Exode",1,15,"Exode chapitre 1, verset 15."
"Exode",1,16,"Exode chapitre 1, verset 16."
"Exode",1,17,"Exode chapitre 1, verset 17."
"Exode",1,18,"Exode chapitre 1, verset 18."
"Exode",1,19,"Exode chapitre 1, verset 19."
"Exode",1,20,"Exode chapitre 1, verset 20."
"Exode",1,21,"Exode chapitre 1, verset 21."
"Exode",1,22,"Exode chapitre 1, verset 22."
"Exode",1,23,"Exode chapitre 1, verset 23."
"Exode",1,24,"Exode chapitre 1, verset 24."
"Exode",1,25,"Exode chapitre 1, verset 25."
"Exode",1,26,"Exode chapitre 1, verset 26."
"Exode",1,27,"Exode chapitre 1, verset 27."
"Exode",1,28,"Exode chapitre 1, verset 28."
"Exode",1,29,"Exode chapitre 1, verset 29."
"Exode",1,30,"Exode chapitre 1, verset 30."
"Exode",2,1,"Exode chapitre 2, verset 1."
"Exode",2,2,"Exode chapitre 2, verset 2."
"Exode",2,3,"Exode chapitre 2, verset 3."
"Exode",2,4,"Exode chapitre 2, verset 4."
"Exode",2,5,"Exode chapitre 2, verset 5."
"Exode",2,6,"Exode chapitre 2, verset 6."
"Exode",2,7,"Exode chapitre 2, verset 7."
"Exode",2,8,"Exode chapitre 2, verset 8."
"Exode",2,9,"Exode chapitre 2, verset 9."
"Exode",2,10,"Exode chapitre 2, verset 10."
"Exode",2,11,"Exode chapitre 2, verset 11."
"Exode",2,12,"Exode chapitre 2, verset 12."
"Exode",2,13,"Exode chapitre 2, verset 13."
"Exode",2,14,"Exode chapitre 2, verset 14."
"Exode",2,15,"Exode chapitre 2, verset 15."
"Exode",2,16,"Exode chapitre 2, verset 16."
"Exode",2,17,"Exode chapitre 2, verset 17."
"Exode",2,18,"Exode chapitre 2, verset 18."
"Exode",2,19,"Exode chapitre 2, verset 19."
"Exode",2,20,"Exode chapitre 2, verset 20."
"Exode",2,21,"Exode chapitre 2, verset 21."
"Exode",2,22,"Exode chapitre 2, verset 22."
"Exode",2,23,"Exode chapitre 2, verset 23."
"Exode",2,24,"Exode chapitre 2, verset 24."
"Exode",2,25,"Exode chapitre 2, verset 25."
"Exode",2,26,"Exode chapitre 2, verset 26."
"Exode",2,27,"Exode chapitre 2, verset 27."
"Exode",2,28,"Exode chapitre 2, verset 28."
"Exode",2,29,"Exode chapitre 2, verset 29."
"Exode",2,30,"Exode chapitre 2, verset 30."
"Exode",3,1,"Exode chapitre 3, verset 1."
"Exode",3,2,"Exode chapitre 3, verset 2."
"Exode",3,3,"Exode chapitre 3, verset 3."
"Exode",3,4,"Exode chapitre 3, verset 4."
"Exode",3,5,"Exode chapitre 3, verset 5."
"Exode",3,6,"Exode chapitre 3, verset 6."
"Exode",3,7,"Exode chapitre 3, verset 7."
"Exode",3,8,"Exode chapitre 3, verset 8."
"Exode",3,9,"Exode chapitre 3, verset 9."
"Exode",3,10,"Exode chapitre 3, verset 10."
"Exode",3,11,"Exode chapitre 3, verset 11."
"Exode",3,12,"Exode chapitre 3, verset 12."
"Exode",3,13,"Exode chapitre 3, verset 13."
"Exode",3,14,"Exode chapitre 3, verset 14."
"Exode",3,15,"Exode chapitre 3, verset 15."
"Exode",3,16,"Exode chapitre 3, verset 16."
